58 3 0,975096044108253

501 14 0,764260706060942

491 22 0,737155112570171

485 39 0,906346430150678

229 43 0,90828546449039

238 44 0,826969204305423

170 46 0,982565828167268

170 46 0,981408401789168

194 46 0,9631072343157

245 46 0,84512352975558

205 55 0,843566406405143

167 58 0,784977764446696

170 60 0,873204028000196

157 62 0,920191353788972

273 63 0,931895655135135

281 65 0,879581360248554

160 66 0,7630690159092

284 72 0,758779396208526

188 74 0,851844610497475

188 74 0,88850447836629

337 75 0,970824988721065

282 75 0,915830180727259

444 83 0,848683576187617

146 85 0,884427875969643

149 85 0,940270417808051

491 86 0,779701315811924

247 87 0,912773456259429

142 89 0,75640468800823

247 90 0,841106366011468

252 90 0,947023161972217

244 91 0,928757137725026

12 94 0,932425252001868

246 94 0,825451087859656

66 96 0,844181972326636

287 97 0,827542553719472

428 97 0,702009279012067

378 99 0,857820655516188

139 99 0,952579406744661

136 100 0,974734847422107

230 102 0,790286159322116

381 101 0,888249698986089

370 103 0,658066347745028

226 107 0,917388636991785

133 111 0,802691817054341

251 112 0,910363502297039

403 112 0,864287209910862

291 112 0,913038076930023

444 114 0,939236053716003

52 114 0,915882765993646

306 115 0,933392169829542

306 115 0,923912051245888

290 116 0,880665325565935

125 117 0,75521493292968

493 117 0,864622274592509

228 117 0,905547785259206

228 117 0,950244538356282

228 117 0,903735357185815

278 117 0,968056545405915

278 117 0,936257363836876

270 122 0,960496091125488

270 122 0,795832507814636

343 123 0,971047563596467

481 123 0,803861076801755

389 123 0,713998771894137

389 123 0,883866953065657

118 125 0,799270716347533

201 125 0,899574219616689

436 126 0,879389012750144

206 126 0,964524592322819

266 127 0,945613079802941

197 129 0,918552066223269

276 129 0,900418935447636

276 129 0,912242843551446

299 129 0,839057069998943

333 130 0,937186922574405

200 132 0,956121715385618

230 133 0,942007767996002

293 133 0,917130007101409

200 135 0,863144690017968

259 136 0,896363273770814

253 136 0,899969033768511

293 136 0,849008626538433

297 137 0,928807573947145

342 137 0,941848483147158

355 138 0,935708567431025

213 140 0,94184074019982

216 141 0,964694139845273

274 141 0,958713540675293

267 141 0,91629496370401

267 141 0,913045698148473

285 142 0,948217102804033

182 142 0,940575323565551

230 143 0,94095704755594

230 143 0,931299349761276

269 143 0,948923182046297

269 143 0,948075044390894

342 144 0,918133095687759

216 144 0,899224942117502

293 144 0,868940032757385

293 144 0,848743034042239

176 145 0,898447707030118

208 144 0,919380937811485

208 144 0,919285985903205

232 146 0,915413705389253

347 146 0,932708003725004

178 147 0,892215866906786

194 148 0,805439347017486

194 148 0,933979027206793

208 147 0,956439287108319

231 149 0,925143041033163

167 149 0,869947808130988

243 149 0,947727768728911

338 151 0,95689969647597

338 151 0,973665497369013

218 152 0,945787039444093

278 151 0,924934899150667

332 151 0,857344561002208

250 152 0,795705177471335

210 153 0,910474536875325

210 153 0,941530406341319

302 153 0,937420132541138

328 154 0,85932037134206

160 154 0,90313986680444

160 154 0,958788983788251

290 154 0,842620901537492

290 154 0,895193880318483

118 156 0,563212440697157

226 156 0,926089708586437

184 157 0,68419520456799

217 157 0,899186348194501

252 157 0,958239846816491

323 157 0,931472118649962

220 157 0,835072370701318

420 157 0,913146786979796

205 159 0,958844969961939

205 159 0,942146085101033

397 159 0,908062593784807

236 159 0,899461801392223

236 159 0,890249722909999

244 160 0,95566632508289

349 160 0,908619969101887

217 161 0,924320288551145

217 161 0,937859905129323

388 161 0,86712018154806

185 162 0,899526183007673

444 162 0,844796648900865

314 162 0,876632039991609

406 162 0,930610496246156

235 163 0,934371379259484

208 163 0,887272023303352

243 163 0,948738497277071

397 163 0,856273917265049

120 163 0,905051943145325

258 164 0,947731322434957

258 164 0,961664919275943

273 164 0,946670271846896

273 164 0,951504106448912

317 163 0,943297091785684

296 164 0,91331744947946

191 164 0,889231026194714

304 165 0,883156884058026

304 165 0,906914787682889

155 165 0,856874296002727

189 165 0,962383015943855

117 166 0,52275472599194

301 165 0,909372186752142

314 165 0,92083693414543

443 165 0,844782081963377

